sample_std,sample_scaled,sample_shift_scaled
0.727087,-0.349652,4.61542
-0.262077,-0.0986989,5.15606
-0.949907,-0.896888,4.86302
-0.719728,-2.2163,5.30606
-1.04699,0.129838,6.21196
-0.459148,2.90854,5.71183
1.1933,-2.20157,5.12756
-1.07396,1.41069,4.75215
0.112952,-1.41191,5.69919
-2.49797,0.525357,5.16742
-0.841739,0.0932551,4.8318
0.889133,1.35041,5.54279
-0.309719,0.337663,2.89156
-0.320027,-0.802704,4.63723
-0.523775,1.45034,2.01214
-0.711574,-1.0744,6.881
-0.588101,-3.89871,6.32909
-0.459819,0.372652,5.82292
0.868299,-1.22138,4.77111
1.39659,-0.207198,4.44834
0.773216,-0.761385,5.66327
-0.100401,0.384381,5.1143
0.402463,-0.64631,6.48025
-0.154285,1.14902,5.99121
-1.95871,-0.224975,5.26515
0.440986,-3.51482,0.468264
-0.537945,-1.01114,4.46118
0.164623,-0.210061,4.53956
-1.30235,1.59257,4.36385
-0.601998,-2.41766,3.92114
-0.355936,0.562998,4.64445
0.473599,2.20631,4.66441
-0.57298,-3.76304,4.3982
1.7734,-1.04636,4.37508
-1.61083,-1.94659,3.5678
0.35569,3.73855,3.79448
-0.204811,-1.02371,7.07308
0.0258828,-1.2168,6.15352
0.730015,-0.384702,4.76031
0.8083,-0.677269,3.79495
0.989404,-0.875127,8.02613
0.266895,-0.779575,7.76669
0.337937,2.60511,3.63094
1.48774,-0.495509,5.4575
-1.15334,2.24328,6.21379
-0.507004,-0.296994,5.28521
0.173736,-0.695295,8.15038
0.330492,0.144949,5.11575
0.797759,-0.476784,5.10635
-1.02501,-1.39731,2.82924
-0.297641,0.168123,3.94606
-0.0753583,0.718895,3.65829
0.265939,-2.64325,5.21583
-0.815593,0.702408,4.3926
-0.160141,0.323517,3.64932
0.227138,0.314343,5.04118
0.0683379,1.53713,5.21526
1.27096,0.0509376,4.19774
0.768823,0.58193,3.92376
0.196128,-0.761248,7.96506
0.330575,-0.992917,4.30256
0.559885,-1.21844,5.16995
0.81885,-0.273971,5.96152
0.136138,-2.92482,7.70623
0.838878,-2.3414,4.22768
-0.731203,0.918533,4.31271
0.219445,2.19527,7.6972
1.09574,1.64409,3.77102
1.77245,0.669623,3.5793
0.0473818,0.99402,3.81671
-0.974153,-2.22739,4.56205
-0.691429,-1.66205,8.69148
1.13123,-2.02106,5.30242
-0.935678,-0.14181,7.35052
-0.16064,-0.117857,4.38728
0.11602,-0.71247,4.86895
1.29866,-0.646419,8.58777
0.71454,0.630664,5.37311
-0.63259,-1.09281,6.09466
-0.0277487,-1.01506,5.3495
0.689916,1.5839,1.17413
1.29018,-0.815586,6.84978
-0.226401,1.51511,2.94577
0.0826394,3.74931,3.75858
0.325471,4.53453,4.0311
-0.642175,-0.877611,3.07492
1.73447,1.81778,5.38199
-1.40924,1.2498,6.4768
0.822825,0.856673,9.99677
-0.62283,0.375619,3.42804
-0.0720865,1.60843,4.13274
1.47345,-0.420915,6.7734
-0.441074,1.77497,5.5935
0.737511,-1.41598,6.91617
0.112477,-0.41898,5.18615
-1.55325,1.06304,6.91128
-1.31051,1.15631,4.34026
-0.127997,-0.261191,5.48259
-0.262906,-0.269649,4.35915
-0.0773218,1.01533,4.27836
1.00579,-1.73849,6.41265
-0.191832,-0.680152,6.16829
-1.12389,2.08134,5.55841
0.847933,1.84926,4.91298
0.0928644,-0.659427,5.54216
-0.641133,-1.26825,2.89454
-0.584268,-1.12773,7.17082
0.832719,-1.17021,3.14978
-0.753599,0.2302,3.99316
-0.0199501,-0.685045,4.89955
0.956847,0.149363,1.8746
1.41952,1.78375,4.48913
1.25148,-0.256681,5.66351
-0.0290157,-2.75037,5.81972
-0.27112,0.0560943,4.80248
0.520894,-0.249424,1.1689
0.211703,2.38764,4.01574
1.60618,-2.43057,6.22663
-1.81897,3.41733,5.3467
-0.116909,-2.29436,3.77901
-0.140829,0.565829,3.16503
1.12478,0.677046,5.36426
0.331475,0.655592,4.55001
0.0881302,0.103724,0.589618
-1.12691,-0.0606396,4.38256
0.574306,0.372882,5.9957
0.355273,-0.0628077,5.68557
0.614656,-0.0837842,7.45469
-0.313021,-0.495587,4.51974
0.273156,1.35848,2.07992
-0.329063,-0.412602,6.99656
-1.8447,0.00166712,5.32851
-1.16278,3.05411,4.56074
0.587687,2.82006,4.95943
0.147852,-0.944187,4.39463
0.0708568,-1.62054,3.28303
-1.13263,2.32078,6.01365
0.166702,1.50375,5.07592
0.292351,-5.35671,4.64776
-0.687143,1.8087,3.9893
0.278525,0.209277,4.96622
0.0186318,-1.64591,5.79519
0.704262,1.59096,7.15351
1.32875,0.59591,3.69152
0.959316,1.36656,5.89302
-0.923114,-1.04026,3.9693
0.0745743,0.435833,3.57055
0.0578393,1.34708,2.70586
0.877871,1.2973,5.38509
0.49066,0.650694,4.50308
-0.804353,2.99038,6.14442
0.0195839,1.60154,5.11491
-0.109395,2.20837,4.4243
-0.691406,0.943758,4.24942
1.39051,1.25525,4.1813
0.259136,0.788145,5.11671
-1.34941,0.879367,6.5252
-0.51894,-1.18813,3.94474
-0.147002,0.361812,6.74086
-1.20176,-1.64525,7.54536
-0.552531,1.31473,3.80943
-0.140663,1.56427,4.09865
0.00864872,0.143999,2.87236
-1.01193,-1.41936,7.92168
-0.368831,2.19968,7.89362
1.00192,0.663011,4.42158
0.149664,-0.656975,6.05092
-0.496427,0.100376,3.91778
1.25631,-1.10424,4.27533
-0.604143,-0.548789,4.5278
-0.179468,-1.66319,5.9806
0.119047,0.277706,4.91718
0.869448,2.12058,7.27582
0.497239,-0.0740864,3.68039
-0.223886,1.22676,5.51216
0.874068,0.0426194,8.64444
-0.56082,0.680995,5.95572
-0.532304,1.23287,4.28264
0.192772,0.0703018,5.27263
-0.532105,0.493141,4.93447
0.710322,-0.446293,4.1607
0.743062,-0.95811,4.55867
-0.513105,0.581896,5.18944
0.0498166,0.700355,5.1724
-0.35269,-0.608859,7.10079
-0.691942,3.28173,4.56621
-1.06354,-1.25306,3.58697
-0.128136,0.127473,4.08017
0.386762,0.238013,5.33064
1.66854,0.32409,5.5754
0.372522,-1.27856,4.06459
0.277837,-0.596904,4.64682
0.361072,-1.40216,5.45684
-0.585496,-3.36672,3.86876
0.405199,-5.15842,8.52524
0.301213,-2.33519,2.33482
-0.0133191,-1.63685,6.1154
-1.1672,3.73602,5.61776
0.334934,-1.45052,4.13579
1.06345,2.1547,5.07612
-0.921082,0.114231,5.02792
-0.0792291,0.858135,3.20476
0.422969,-0.560365,3.79291
-0.420449,0.810464,2.06504
-0.369611,0.982154,7.08725
0.403122,1.59873,3.86255
0.98256,-1.50182,7.16934
2.04339,0.174575,8.30694
0.750193,-0.567425,5.87241
0.608683,1.61039,3.90883
-0.528174,-1.50248,4.14059
-0.130018,-3.59326,5.54252
1.35591,0.310333,6.18435
-0.212213,2.2532,4.79754
-0.118699,1.01529,6.08499
0.0447575,0.718873,5.77031
-0.499798,0.229892,9.13742
0.277324,-2.0703,5.41084
-0.492917,-1.24433,5.65247
-0.810034,0.817849,7.38836
-0.302645,0.178262,4.57089
0.553088,0.662909,9.08289
-0.6873,-1.32995,4.63447
-0.00292103,-1.39398,7.105
-0.316434,0.38304,4.66175
0.60559,1.77816,3.46245
0.319645,1.88684,5.87693
-1.03696,0.59282,4.13718
0.15289,-0.444061,2.4237
1.30335,-1.29974,5.83599
-1.85186,0.506007,3.67341
0.474338,-1.17877,3.87609
0.392851,-0.474522,6.3182
1.82503,-2.10507,5.45337
0.907265,-1.59179,5.12953
-0.486433,-1.34917,6.13076
1.09771,2.03891,4.67927
1.29694,1.36546,3.27263
0.363138,1.31482,4.34844
-0.29714,-1.48251,5.24155
-0.504667,0.306036,5.08369
-1.17753,0.12095,7.04555
0.57008,0.834905,6.0622
0.330566,0.669754,4.61696
-0.574289,0.746022,6.97136
-0.272049,1.51346,9.3728
0.527927,0.215208,4.82097
0.0335002,-2.86796,7.04847
0.969356,-0.0257653,4.59833
-0.0124448,1.29122,5.87321
0.693472,-0.718585,3.43964
0.0113943,-0.0782188,4.05637
0.518524,0.817603,3.60806
0.0737285,-0.720789,4.56981
0.832055,-1.42307,3.45517
-0.324579,0.819753,5.82494
-0.434193,1.53915,2.81369
-0.895261,-1.01265,3.24164
-0.189786,0.863209,5.54943
-0.74795,0.238946,3.18525
2.87814,2.80248,5.96077
-0.192401,-0.266418,3.10379
-1.20944,0.150434,5.15278
0.583022,-1.45383,2.89509
-0.152197,-0.0349256,6.86084
-0.212236,0.554906,3.02271
-0.367514,-0.89998,5.83472
-0.942298,-0.484825,5.32527
0.362116,-0.522409,2.77639
0.564097,2.76869,4.61539
-0.16441,-0.237586,4.9352
-0.243449,-2.32668,5.55752
-0.40611,3.28171,4.33812
0.170247,2.0995,3.78497
0.64805,1.57454,5.94303
-0.231777,-2.96426,6.56365
0.363031,-1.39516,4.30993
-0.016455,-0.359677,4.38287
0.494268,-0.678183,4.47878
-1.31384,1.17918,5.32906
2.0838,0.0586984,6.12776
-0.984219,-0.945901,3.31581
-0.654898,-2.21201,5.68377
1.52177,-3.02011,7.00033
-0.983868,-1.12781,7.01323
-0.163008,1.32717,5.32999
-0.773672,-0.201141,4.81512
0.455116,0.513201,5.75587
0.323019,0.288045,6.8599
0.445937,-1.25996,1.83593
-0.0685245,0.274071,3.09577
0.538016,-2.65256,4.20928
-0.215737,1.6024,6.42842
0.0612578,0.953395,3.81692
-1.03309,-1.09074,3.79524
-0.174087,-1.21716,3.3976
-0.177045,-0.568395,3.55554
0.375793,-3.9514,5.69726
0.884429,-0.826503,3.7386
-0.580781,0.576646,7.6244
1.31708,-0.0113472,3.83186
0.580469,2.94677,7.57327
0.339493,1.30055,5.82862
0.612961,-0.179901,6.13827
0.953947,0.498098,4.29761
0.78366,0.0257783,4.58427
0.454398,0.386798,8.04796
0.530339,2.29009,2.03445
1.35004,0.86024,3.52609
-1.02097,0.301172,6.1789
1.0615,1.03138,3.61394
0.754016,-3.15658,3.66565
-0.133335,0.589644,6.30705
0.270762,-0.179937,4.92902
-0.116359,3.03089,5.56193
0.10412,-1.20364,1.93262
-1.20354,-1.42693,3.66149
0.700855,-0.996951,3.94806
-0.2408,1.84037,5.52392
0.186065,-2.16763,5.19891
-0.630998,-1.3142,3.12744
-2.54084,-0.0987277,3.85055
0.116416,2.12971,6.33824
-0.746193,-3.29273,5.28944
-0.334268,-1.00555,5.60073
0.431578,0.420797,3.63728
-1.33199,-1.57117,4.67608
0.919003,2.55667,5.46094
0.773262,0.595331,4.59169
0.696465,0.58315,4.49279
0.613256,1.5717,5.43194
0.892778,0.864161,2.24664
0.565947,-0.674853,8.99249
0.903369,-2.3795,3.36391
-0.0901195,-1.89994,6.16315
0.439347,0.622255,6.62459
-0.545914,-0.946951,7.24529
0.52234,-1.09127,3.42495
0.573347,-1.59185,2.90659
-0.931073,0.737017,6.41556
-0.879877,1.96219,2.84274
0.47076,-1.42109,5.36647
-2.46863,0.741487,3.50745
0.343514,-0.882783,4.27531
1.45941,1.19339,4.52643
0.38288,0.347062,3.70034
-0.547349,-3.06312,5.18652
-1.30334,1.50065,2.31806
-1.44343,-0.13654,5.77663
0.234875,-1.31407,4.09399
0.19152,0.224558,4.36804
0.42668,-2.55804,5.24889
-0.570481,-0.181933,4.30057
-0.645014,-1.47933,5.81355
0.755847,-1.81408,5.10761
-0.73176,-2.06925,4.95186
-1.27832,-0.590826,7.87327
-0.289481,-0.587663,5.20794
-0.743315,-0.0590795,4.62563
-0.5303,-0.587574,3.8134
-0.617996,0.274432,6.73246
0.0484681,0.460908,5.38405
-0.759602,-0.202962,4.59895
0.91224,1.74365,6.62121
1.27387,-0.633544,3.28066
-0.608487,1.78122,4.85833
1.06915,-0.142114,4.20687
0.014639,-1.42415,5.8119
-0.597725,-0.878471,4.32962
0.183892,1.66603,7.35711
0.55964,0.628888,7.0396
0.271266,-1.24329,4.18281
0.0141985,1.02186,4.62981
-0.559824,-2.34988,7.3026
-0.769585,-1.69639,4.87745
0.138324,1.40387,5.53088
-0.108355,0.72051,8.01442
0.387627,2.53817,5.99467
0.901117,-0.233105,4.80948
-0.985553,-3.32948,4.79338
-0.637805,-0.0631548,5.99627
-0.28797,-0.0563062,4.47753
0.961018,-3.63631,6.38255
0.410114,-0.493787,4.50833
-0.930941,-1.07329,3.43326
0.51542,-0.319779,4.00429
1.11629,2.03159,4.9766
-0.570084,0.138269,3.50163
-1.15607,-1.66085,4.85961
0.251821,0.9479,4.56948
-0.290642,1.54506,6.10062
0.781813,-1.58545,4.95119
1.0778,-2.74626,4.39933
0.284957,-0.908203,1.28711
-0.417987,-1.52856,5.55053
0.826026,-1.29924,4.89007
-1.08004,1.92365,5.16604
-0.904659,-1.10261,7.69993
0.918081,-0.891404,3.29601
-0.308731,1.77945,6.22024
-0.323285,-1.20072,5.16259
0.199712,0.689109,3.55978
-0.284861,-1.97612,2.30724
1.55215,1.08261,5.6102
0.847544,-1.42648,5.94423
-0.256113,1.18553,5.01867
-0.280454,0.104345,1.00713
-0.868606,-0.138856,3.06968
0.237773,0.337362,5.04039
-0.482556,0.458605,5.48204
0.0676963,-0.638527,4.07472
0.87391,0.268869,5.09641
1.23927,-0.259879,4.82538
1.61778,1.74465,6.73726
0.346115,2.48143,3.11874
-0.39651,-0.329644,4.6589
0.970299,0.722878,4.36121
0.282586,0.546272,3.81981
-0.0491492,-1.70268,5.30491
0.649814,-0.115763,4.85898
-0.35335,1.00847,5.27267
-1.60027,-1.40906,4.67887
0.758439,-0.770173,7.45655
-0.84288,-0.205095,4.94951
-1.45528,-6.54338,3.12326
-0.188883,0.710503,6.10108
-0.501464,1.81142,4.58184
0.65167,-0.346441,2.36308
0.845067,0.775542,4.72879
0.434114,-0.516135,2.78257
0.668123,0.511509,5.87488
0.103739,1.84081,5.75435
-0.381187,0.945066,5.91341
-0.468526,-0.813657,5.44685
0.563502,1.77138,7.05187
0.2696,0.130614,3.08287
1.14975,-0.580677,5.8587
-0.0861955,1.70936,8.30437
1.00567,1.03336,3.26148
0.740662,-1.46371,4.48302
0.0806064,-0.514911,3.39718
-0.26759,1.31761,7.14831
-0.554205,-0.0465937,7.17578
-0.925235,-1.32232,6.57091
0.284757,-0.611758,5.41882
-0.141247,0.479358,1.71382
1.17576,0.80629,5.13335
0.85744,-0.532585,3.76429
-0.228312,0.496105,6.14686
0.710008,-2.54922,5.87024
-0.724841,-2.28882,6.49143
0.319423,0.401729,4.49027
-0.0921491,-2.02954,5.15254
0.368139,-4.71026,5.85866
0.0283536,-0.713003,5.32031
0.0171889,0.152118,4.12555
-1.70073,-0.614309,5.05048
1.95229,-0.701519,4.89116
0.837546,1.69482,1.43603
0.527432,1.21065,3.32735
-0.450385,0.468595,6.88891
-0.156057,0.930202,3.64807
-0.169074,0.497713,4.94618
0.0315198,0.083978,7.29823
0.41735,3.07861,3.69762
-1.04243,0.893219,6.68211
-1.90974,-0.996351,2.6535
0.967531,2.87457,7.34278
-0.012071,0.275247,4.12512
0.449898,1.81962,5.65371
-0.415106,0.141051,7.79152
0.843874,-1.11862,6.62384
0.613107,-1.14264,3.86186
2.34202,1.34505,3.94541
-0.418099,0.864069,4.67213
-1.93791,-1.96469,5.16971
0.550863,0.114106,4.68603
0.807961,0.323,5.1383
-1.75343,-0.26171,6.00021
-0.633574,-1.3016,6.80381
0.202815,1.63973,3.1191
-1.34016,-1.84626,5.02058
-0.959455,1.16916,7.0246
-0.504797,-1.26005,4.50829
0.125481,1.78658,6.60078
0.350569,-0.645537,5.16019
-0.097588,0.524946,4.77431
0.151768,0.0407292,5.03145
0.378486,-1.75416,5.17577
0.489638,-0.417602,4.88831
-1.51065,0.992672,3.70924
-0.423328,1.08461,5.72172
-0.345215,-0.207437,4.50113
1.09768,1.2734,3.11235
-0.177498,0.305448,5.18008
-0.424755,-1.09477,5.33434
1.13115,-0.672494,7.86814
-1.02164,1.4463,3.39586
-0.535563,-0.96744,6.06669
-0.0182414,-2.50366,4.80278
-0.937643,0.918088,7.63854
2.91697,1.43794,4.53311
-0.546421,0.646938,4.63818
-0.17207,2.45641,5.57097
0.822574,0.078158,4.20991
-1.11697,-1.03616,6.04598
0.548828,0.574876,6.2695
0.519705,-0.529059,3.17548
-0.14794,0.696174,6.04473
-0.308494,2.14165,4.81314
1.12651,-1.37126,5.96401
0.269541,3.04643,3.93196
-0.759084,-3.10964,5.57113
-1.09891,-0.170717,4.66109
-1.02644,-1.19994,6.08351
0.111251,-0.381772,2.70607
0.054191,-2.17272,5.8023
-0.835468,-0.983438,2.97273
-0.845928,0.0535706,4.63569
1.2168,0.0112049,2.49997
-0.20837,-0.130754,5.55282
0.124298,0.76666,6.65929
1.03753,-0.787453,2.50644
-0.0582878,-1.48355,4.9852
1.4584,0.416824,6.54764
-0.388659,-0.167817,7.08524
0.0514038,-0.580271,5.1278
0.392353,-2.21784,6.12179
-2.01376,0.285866,3.01816
0.156184,-1.36708,4.01599
-1.16654,2.11159,6.37559
0.672451,1.00284,3.23399
-0.604992,-0.229881,4.52182
-0.453173,2.31235,4.1216
0.222608,-0.237123,7.38992
0.360262,-1.09842,2.99987
0.0381798,0.576109,3.09564
-0.180994,-2.75341,6.5653
-0.0569519,0.568031,3.16859
-0.56963,-2.09525,3.40022
0.363266,-0.268055,5.48825
-0.0586466,1.4769,5.2306
-0.51268,-0.516285,4.35311
0.665066,0.101066,5.23612
0.131242,3.02419,5.54996
-0.540837,0.110414,4.82426
-0.797478,-0.300676,3.80202
0.047296,1.14738,7.21004
-0.106532,2.13217,2.16215
1.30597,-0.678833,4.80256
-0.505453,-1.33977,5.70712
0.734474,-1.54417,3.19403
-1.28978,-2.39086,5.62317
-0.150791,-3.07623,6.05116
0.634988,0.419498,4.11969
1.537,2.24367,6.13151
-1.3909,-0.122619,3.60162
-0.422373,-0.0730795,3.19695
-0.138455,-3.7572,4.16373
0.0409796,-1.66207,4.84555
0.778716,0.61237,5.65739
0.328248,-1.40525,1.68062
0.81647,5.11845,5.3456
-0.318983,-5.06466,8.61289
0.587554,-0.742176,6.9526
0.477686,-1.94945,1.21077
0.708517,-1.85326,5.78308
-0.963523,-0.0503833,4.18827
0.860529,0.23404,6.15784
-0.628387,-0.114409,4.1485
0.582196,1.62589,4.46083
-0.910188,2.24462,5.1807
0.556322,1.29128,3.65993
-0.404046,0.594614,4.45486
0.705152,-2.63301,5.17456
-0.707753,-0.371393,2.87314
-0.943945,3.40498,3.34534
2.01504,0.827969,6.62926
-0.874148,1.03026,7.33452
1.04584,-0.512083,5.77978
1.12825,2.58438,3.88457
-0.693108,0.33801,5.38355
-0.0197426,0.175484,3.7206
0.545293,-1.05175,7.31019
1.08764,0.564585,6.70749
-0.346148,0.992175,6.36888
-0.00703907,-1.09815,5.62263
-0.92937,-0.550135,3.5602
1.98134,-1.65403,3.11455
0.649836,0.893431,4.18954
0.491962,2.16325,3.9352
-0.491037,1.15441,6.65691
0.035448,3.05022,5.48006
-1.18862,-0.641732,3.57857
0.321231,0.18386,5.47852
0.172384,0.99422,7.54626
-0.165502,-2.12652,9.3633
0.415657,-0.0592418,2.85943
0.916014,0.248766,2.40334
0.368725,-1.27614,8.09074
-0.419015,1.9996,2.35852
0.755985,-0.164854,5.59565
-0.90928,-2.27049,3.20267
-0.274106,0.451026,3.92128
-0.825284,-0.407722,7.54298
-0.0217437,2.84548,5.39059
0.160084,2.37245,5.05165
-0.379499,0.830641,4.04781
0.121675,-0.469697,7.00516
-0.914394,1.78096,4.08573
-0.191505,-0.615855,5.68512
0.109353,1.81167,2.44394
-0.0149684,3.79724,7.22269
-0.112436,0.285023,5.41024
1.02326,0.791107,4.57099
-0.918584,1.80249,5.02248
0.472815,-0.196288,3.63152
-0.963005,-3.22158,6.14031
-1.27583,-3.31263,3.33381
-0.188303,0.640317,3.54027
-0.171436,-2.00399,3.03346
0.732613,-0.339668,5.25717
0.396159,-0.262392,5.34632
1.78672,-0.18058,4.26256
0.641195,0.50667,5.52798
-0.706942,-3.35409,7.00975
0.140584,-0.41079,4.77817
-0.936022,0.987784,4.84429
0.755467,4.73112,5.52823
0.692753,-2.37094,5.05941
1.31084,1.44595,5.27335
0.554766,0.502038,3.38662
-0.217161,1.14037,4.47091
0.678199,-0.624463,4.28495
-0.672505,-3.77985,6.80655
0.229253,-0.84251,2.51835
2.10569,-1.28193,3.32016
-0.147825,0.18922,4.37058
-0.491797,-1.56773,2.33256
0.191875,0.681226,5.73606
1.07413,-0.720624,4.33809
-0.268814,-4.08401,3.39852
0.108921,1.472,4.14313
0.477446,1.35622,3.92797
-0.757545,0.193658,4.05294
1.3944,-0.210617,8.89407
-0.00926862,-1.51698,5.38217
-0.546438,1.49196,4.7857
0.397084,0.0406753,4.95687
-0.778863,-2.41277,3.2652
0.265472,1.28037,4.45509
-0.42595,2.04456,1.93128
0.30525,-1.35351,3.18675
-0.0193394,1.80216,6.20671
-0.293445,0.331777,4.07763
0.258369,-0.748779,3.70085
0.135245,0.975925,5.69924
-0.895881,-0.387346,7.74217
1.28499,0.0718392,6.35014
2.11164,0.444271,4.97799
0.351348,-1.51053,4.77963
-0.453435,-2.36804,3.98411
0.472232,1.32664,2.18305
-0.573033,0.1453,2.7785
1.4032,1.41683,1.56663
-0.865575,-0.842948,3.33998
0.811611,0.0352545,5.11276
-0.495628,-1.85524,6.58216
0.236509,4.21716,6.85077
-0.300307,0.166821,7.24433
-0.651529,-1.09037,3.18686
-1.67824,0.793171,4.24187
-0.479713,-0.13591,5.45849
-0.428428,1.07043,2.95219
-2.17467,3.69213,5.36021
0.278201,1.02253,6.07
1.11529,-1.43783,3.71405
0.808952,-2.29655,5.26203
-2.49935,5.27422,3.55141
-1.44425,3.56755,7.00259
-2.21546,-0.928314,5.06782
-0.774562,-0.484806,5.30536
-0.258677,-0.673262,5.54002
-0.262947,0.657258,5.44211
0.0310821,2.25809,5.20111
-0.453042,2.98809,4.19205
0.100164,0.506465,5.38548
0.336055,-0.562771,6.5255
-0.742467,2.86166,6.57787
0.761489,0.705905,4.9269
-0.24344,-2.27686,6.57435
-0.158399,1.4797,2.99155
0.716584,-0.836375,7.03151
0.19502,1.82914,8.6701
1.90346,-1.31711,5.17064
0.0394211,-3.83082,6.62134
0.40943,-0.66516,3.79485
-0.170245,-1.26785,7.07636
-0.308179,2.75626,5.1114
0.309794,-0.59071,5.68337
-0.259284,-0.17399,6.60771
0.55661,2.4248,6.20332
-0.423125,1.58703,6.81186
-1.26127,1.44537,4.36062
-1.49557,-0.747992,5.47029
-0.92839,0.956406,5.85925
0.964877,-0.937663,3.10931
-1.27394,-1.2504,6.75526
-0.491285,-1.20988,4.80074
-0.356556,-2.05122,5.03948
-0.808077,1.69385,9.11542
0.208056,1.49785,6.94999
-0.578714,0.282963,4.46233
0.537709,0.372013,5.09631
0.0954716,-0.307967,5.2071
-1.02469,1.2611,5.46426
-0.258485,-0.888628,5.93369
0.508634,1.34314,4.5608
0.0255687,1.66203,2.51033
0.0562182,0.177044,4.09331
0.361934,-1.29644,4.59246
-0.685384,2.19144,4.94366
-0.637343,-0.861714,6.59236
0.072767,-0.345789,3.11424
0.204125,-0.27892,3.76764
-0.013237,-0.0888797,5.16565
-0.109703,-0.577046,3.72569
1.44625,2.3455,4.14852
-0.139389,-1.866,6.44682
-0.414235,1.26043,5.38562
0.436714,0.349648,5.49386
1.70269,2.09439,3.61363
-0.223036,0.847943,3.1576
-0.365535,0.670471,5.31047
-0.611742,-0.0825323,4.40862
0.20743,-1.76462,5.97131
0.808737,3.6162,6.89273
0.313737,0.0785061,6.65584
0.313783,0.15316,4.29285
-0.325938,-1.69206,6.51359
-0.438851,-4.10917,4.62841
-0.580094,-1.2908,6.70527
2.32763,-1.34898,6.95033
0.0794823,-0.904403,7.05537
-1.12236,-1.17555,5.44337
-0.72709,1.86182,5.11097
-0.708981,-1.10226,2.89182
-0.217321,1.156,4.85986
0.358485,-0.33831,7.18455
-1.07543,1.34286,7.77651
0.357619,-1.21494,4.8219
0.690338,-1.44359,2.74524
-0.469863,-1.03941,4.39072
-0.100077,2.36807,7.7242
-0.318904,-1.14385,6.38648
0.253094,-2.71376,3.92335
