x,pdf_class,pdf_function,moment,class_value,function_value,class_samples,function_samples
,,,,,,-0.517269,0.0342185
,,,,,,-1.42939,1.1999
,,,,,,1.07842,-1.0842
,,,,,,0.426833,-1.33302
,,,,,,1.01958,0.792203
,,,,,,-0.802926,0.229814
,,,,,,0.00155281,4.26711
,,,,,,-0.61078,1.80164
,,,,,,3.55861,2.14075
,,,,,,1.00011,0.737118
,,,,,,2.39559,-0.729779
,,,,,,2.8891,-1.98386
,,,,,,3.43376,1.72138
,,,,,,1.89538,0.00647604
,,,,,,-0.334422,3.04311
,,,,,,1.13723,-1.42124
,,,,,,3.35215,3.2559
,,,,,,-0.162288,2.08937
,,,,,,1.09369,-1.7266
,,,,,,-0.173419,0.399755
,,,,,,1.07566,1.68055
,,,,,,1.3448,-0.244371
,,,,,,1.56745,0.811299
,,,,,,2.20586,-0.0209408
,,,,,,-0.0262985,1.30399
,,,,,,0.393479,0.905281
,,,,,,0.829118,0.754444
,,,,,,-0.318981,2.83437
,,,,,,0.537029,-0.601727
,,,,,,3.79223,2.01232
,,,,,,-2.07862,1.42136
,,,,,,0.633976,5.48077
,,,,,,-2.12446,3.52808
,,,,,,1.13528,0.511033
,,,,,,1.94969,1.78971
,,,,,,-0.739468,2.24337
,,,,,,-0.373332,0.618975
,,,,,,1.54679,0.734315
,,,,,,1.8006,0.91092
,,,,,,0.647186,2.9511
,,,,,,0.111613,-0.535673
,,,,,,3.19282,0.240395
,,,,,,0.461477,-0.30029
,,,,,,3.68345,-0.630639
,,,,,,-0.0604768,1.33281
,,,,,,1.14905,2.31545
,,,,,,3.49281,2.04769
,,,,,,0.447801,1.18436
,,,,,,-1.06812,-2.1249
,,,,,,0.876026,2.05971
,,,,,,2.00062,-1.36476
,,,,,,0.938012,0.0173142
,,,,,,3.48519,0.209971
,,,,,,-0.548964,2.60093
,,,,,,0.0561078,3.17202
,,,,,,3.0519,1.49915
,,,,,,0.124142,-2.45757
,,,,,,0.512713,-0.0641325
,,,,,,0.136157,3.17597
,,,,,,2.96385,1.801
,,,,,,1.91023,0.98273
,,,,,,-0.615803,-0.350858
,,,,,,4.33642,0.877936
,,,,,,0.553888,1.42424
,,,,,,-1.13516,-2.63782
,,,,,,0.510493,-0.662485
,,,,,,0.264769,2.76416
,,,,,,-1.76773,0.742176
,,,,,,0.204699,1.10225
,,,,,,-1.36829,0.30982
,,,,,,0.845523,0.331499
,,,,,,3.08431,-0.46058
,,,,,,3.96725,0.843416
,,,,,,1.31371,1.92288
,,,,,,0.146727,1.6966
,,,,,,2.61011,0.0383425
,,,,,,1.53221,1.17503
,,,,,,1.32403,0.949752
,,,,,,1.12963,1.28227
,,,,,,-0.358996,-2.13332
,,,,,,1.05917,1.68904
,,,,,,2.10463,-0.204213
,,,,,,0.408196,2.8076
,,,,,,0.0627316,1.30411
,,,,,,1.78207,1.31872
,,,,,,1.33419,0.280053
,,,,,,3.22788,2.07858
,,,,,,2.16422,1.70667
,,,,,,0.287771,0.468629
,,,,,,-0.718511,2.66738
,,,,,,0.740227,0.595133
,,,,,,-0.0338248,1.15183
,,,,,,0.866491,-0.158656
,,,,,,1.95901,0.891941
,,,,,,1.71527,1.8501
,,,,,,3.69052,-0.619774
,,,,,,1.31191,-0.232948
,,,,,,-0.152386,1.79551
,,,,,,1.00386,0.00507967
,,,,,,1.46577,2.15349
,,,,,,0.246937,0.84597
,,,,,,1.51594,-0.75838
,,,,,,-3.80838,0.211683
,,,,,,-1.48983,2.81376
,,,,,,2.68581,1.74114
,,,,,,3.40747,-0.370741
,,,,,,-1.35803,-0.587734
,,,,,,1.09161,1.05935
,,,,,,3.52836,-1.04009
,,,,,,0.846317,2.68079
,,,,,,-2.47089,4.63726
,,,,,,-0.234143,5.04488
,,,,,,0.0139327,0.279366
,,,,,,-1.23317,3.4651
,,,,,,2.12496,2.79113
,,,,,,2.02276,-0.967682
,,,,,,0.401427,1.73396
,,,,,,-2.98155,-0.656486
,,,,,,2.70094,2.03648
,,,,,,3.12235,1.2156
,,,,,,1.38391,1.10288
,,,,,,-0.499609,-2.7263
,,,,,,2.35555,2.44657
,,,,,,1.45556,-1.87705
,,,,,,2.46853,-0.453726
,,,,,,0.66628,0.780307
,,,,,,0.532961,2.03695
,,,,,,3.54049,2.83659
,,,,,,2.22052,0.147474
,,,,,,-0.243141,2.24438
,,,,,,1.21859,-1.61345
,,,,,,4.57955,-0.145949
,,,,,,0.94225,-0.0922068
,,,,,,0.235412,0.0598879
,,,,,,1.57405,0.801634
,,,,,,1.30722,-2.68342
,,,,,,2.60675,2.89132
,,,,,,0.589645,1.28213
,,,,,,2.78205,4.28016
,,,,,,2.60759,-2.52948
,,,,,,3.39934,2.19348
,,,,,,0.86963,0.168422
,,,,,,1.0147,2.24876
,,,,,,-1.72715,-0.391303
,,,,,,3.9146,1.79052
,,,,,,-0.617345,2.23831
,,,,,,-0.459048,0.891382
,,,,,,1.32199,1.19973
,,,,,,0.998528,2.24133
,,,,,,2.17509,3.08265
,,,,,,1.39916,2.6988
,,,,,,-1.07125,0.283534
,,,,,,0.42276,3.42198
,,,,,,1.12139,1.89882
,,,,,,0.22197,-0.729483
,,,,,,1.87034,-0.945511
,,,,,,-1.61414,0.727958
,,,,,,0.273139,0.690553
,,,,,,3.18578,0.904954
,,,,,,0.568054,2.2197
,,,,,,1.41956,0.7027
,,,,,,2.44424,-0.719995
,,,,,,-0.0652194,-0.323546
,,,,,,1.78611,2.19263
,,,,,,1.15807,1.95481
,,,,,,3.02806,2.64524
,,,,,,-1.28565,1.37306
,,,,,,1.26267,-1.01844
,,,,,,1.78383,0.333191
,,,,,,-0.860115,1.3252
,,,,,,-1.0676,1.98154
,,,,,,0.261339,0.00251693
,,,,,,-0.0863225,0.799121
,,,,,,1.81393,3.2802
,,,,,,0.971109,-0.346439
,,,,,,2.55153,2.75069
,,,,,,1.20438,1.57974
,,,,,,2.93387,3.72446
,,,,,,0.186171,-0.111121
,,,,,,1.15265,1.30001
,,,,,,1.75558,-0.941247
,,,,,,1.15157,2.35299
,,,,,,0.786929,1.27637
,,,,,,-0.419722,0.416253
,,,,,,3.5665,-2.52745
,,,,,,2.72557,-0.858436
,,,,,,0.145691,0.609189
,,,,,,0.283679,1.53722
,,,,,,1.27102,2.60934
,,,,,,-2.19876,3.75775
,,,,,,-0.784998,-0.940301
,,,,,,3.76992,1.75637
,,,,,,1.25208,0.384411
,,,,,,-1.57859,1.65735
,,,,,,0.878465,-0.71708
,,,,,,1.47625,0.645759
,,,,,,3.95303,-1.05566
,,,,,,-0.0967823,0.443315
,,,,,,1.74971,0.757898
,,,,,,-1.95577,-0.420674
,,,,,,0.0547862,0.995417
,,,,,,0.98771,1.07491
,,,,,,2.12619,3.23742
,,,,,,1.31304,1.8298
,,,,,,4.50251,0.0106014
,,,,,,3.52543,2.58219
,,,,,,0.284237,-2.55936
,,,,,,0.307589,1.25458
,,,,,,1.51367,0.171589
,,,,,,-0.341344,0.367612
,,,,,,1.52638,4.07476
,,,,,,0.25239,4.30616
,,,,,,0.72375,3.46689
,,,,,,-0.562794,-0.312625
,,,,,,1.97533,-0.904931
,,,,,,-1.30906,1.9603
,,,,,,1.67383,2.85576
,,,,,,1.52451,0.241918
,,,,,,2.52189,0.781873
,,,,,,1.30314,1.06707
,,,,,,0.235121,0.15128
,,,,,,2.68703,0.833348
,,,,,,0.179872,0.867208
,,,,,,0.349981,2.76968
,,,,,,2.08599,2.34381
,,,,,,0.317396,-0.344736
,,,,,,1.94833,2.19329
,,,,,,-0.702499,1.24456
,,,,,,-1.03038,3.25369
,,,,,,2.60728,0.557144
,,,,,,0.289893,2.12334
,,,,,,1.54407,0.575268
,,,,,,0.804003,-1.59821
,,,,,,-1.00646,3.29925
,,,,,,3.97817,2.73111
,,,,,,0.714411,-0.116024
,,,,,,1.68559,-0.274347
,,,,,,0.133136,1.73725
,,,,,,-0.128537,0.711134
,,,,,,-0.147133,0.347044
,,,,,,1.08232,2.64781
,,,,,,0.561673,2.80719
,,,,,,2.79736,0.615794
,,,,,,0.257068,2.6122
,,,,,,1.55149,2.08381
,,,,,,0.665322,3.61181
,,,,,,0.373924,2.83186
,,,,,,1.6419,2.16651
,,,,,,-1.07884,1.68338
,,,,,,-0.102384,-0.221005
,,,,,,-0.750861,1.95346
,,,,,,-1.69531,0.0457168
,,,,,,1.11089,-0.770743
,,,,,,3.2865,2.77214
,,,,,,3.12026,2.81962
,,,,,,-2.21748,2.26045
,,,,,,2.28855,1.65283
,,,,,,3.55347,-1.62479
,,,,,,0.997746,1.00665
,,,,,,3.95202,-0.187535
,,,,,,-0.688859,0.872805
,,,,,,0.451295,2.1658
,,,,,,1.46371,2.82701
,,,,,,0.87947,0.538398
,,,,,,1.39374,1.86477
,,,,,,0.777618,3.20463
,,,,,,5.43741,1.61752
,,,,,,-0.636599,-0.636112
,,,,,,1.3931,0.674461
,,,,,,-0.119435,-0.390992
,,,,,,0.225806,2.63489
,,,,,,0.270677,-0.762584
,,,,,,0.322721,1.64092
,,,,,,-1.17636,0.144639
,,,,,,1.5777,0.0654422
,,,,,,-0.760187,1.0517
,,,,,,-3.33354,2.02551
,,,,,,-0.117493,0.121695
,,,,,,0.82801,1.75754
,,,,,,2.68454,-0.169249
,,,,,,1.28152,1.15434
,,,,,,0.910655,1.3383
,,,,,,2.78222,0.713699
,,,,,,1.23335,0.054674
,,,,,,1.42268,-0.826756
,,,,,,2.30588,1.81802
,,,,,,3.25585,-1.24058
,,,,,,0.898035,0.0121608
,,,,,,3.43601,-1.55498
,,,,,,2.92057,1.42961
,,,,,,0.682407,1.22938
,,,,,,2.68155,1.03988
,,,,,,2.15834,1.81328
,,,,,,2.93417,0.509766
,,,,,,3.2069,3.16506
,,,,,,2.15339,0.146024
,,,,,,1.55227,1.89917
,,,,,,3.07926,1.55716
,,,,,,-0.67624,3.2926
,,,,,,-0.787479,2.35776
,,,,,,2.23496,1.84645
,,,,,,1.68425,2.37477
,,,,,,1.29229,0.680305
,,,,,,0.717656,1.39144
,,,,,,0.334967,1.60932
,,,,,,-0.793573,0.174864
,,,,,,0.285818,-0.516051
,,,,,,-0.324686,-0.864802
,,,,,,-2.17749,1.99013
,,,,,,0.00428847,2.53826
,,,,,,2.59768,2.33449
,,,,,,-0.0929984,2.2054
,,,,,,0.575142,0.0743616
,,,,,,2.69492,3.08564
,,,,,,-0.477374,1.44007
,,,,,,2.11083,-0.480402
,,,,,,-1.0342,1.62091
,,,,,,2.28332,4.02294
,,,,,,3.13647,0.0342783
,,,,,,-0.336778,2.45734
,,,,,,0.445015,-0.668806
,,,,,,-1.76745,1.53421
,,,,,,1.43468,2.6237
,,,,,,0.546584,0.0375736
,,,,,,2.29512,1.94197
,,,,,,2.18898,2.3272
,,,,,,-0.777459,-1.15446
,,,,,,2.09562,0.0293838
,,,,,,0.860591,3.16196
,,,,,,0.217257,2.0591
,,,,,,1.6096,2.49691
,,,,,,2.6912,-1.27119
,,,,,,1.49741,3.00566
,,,,,,1.68531,0.304723
,,,,,,-0.867684,0.132412
,,,,,,1.63237,-1.07206
,,,,,,2.08907,0.656712
,,,,,,2.66591,1.32036
,,,,,,0.299779,0.104991
,,,,,,3.34921,0.414806
,,,,,,3.37938,-0.148155
,,,,,,-2.05872,-0.454593
,,,,,,-1.04828,0.456603
,,,,,,2.97191,2.18653
,,,,,,-0.443416,1.24204
,,,,,,3.93645,1.91005
,,,,,,1.33788,-0.722814
,,,,,,2.0046,3.51953
,,,,,,2.16495,1.46553
,,,,,,1.69859,0.29849
,,,,,,1.0601,0.502785
,,,,,,3.6375,1.36292
,,,,,,0.534018,0.835328
,,,,,,1.9012,-0.494155
,,,,,,-1.43415,0.935254
,,,,,,1.87809,1.51287
,,,,,,1.8117,1.88783
,,,,,,1.00944,-2.26473
,,,,,,0.10367,-0.632526
,,,,,,2.94268,-0.509003
,,,,,,1.10085,3.68295
,,,,,,-0.938675,0.624281
,,,,,,1.63267,2.07344
,,,,,,2.6612,1.67832
,,,,,,0.222756,1.86687
,,,,,,2.1485,0.842457
,,,,,,4.27363,0.408637
,,,,,,0.914736,1.43198
,,,,,,0.906973,0.838914
,,,,,,-0.462659,1.89227
,,,,,,-1.64449,2.39057
,,,,,,-0.164581,2.81014
,,,,,,1.52932,4.05499
,,,,,,1.39851,-0.428384
,,,,,,1.56274,0.579973
,,,,,,1.8187,0.415942
,,,,,,1.6222,0.168201
,,,,,,2.81165,0.128776
,,,,,,3.6129,0.444441
,,,,,,1.74352,0.443471
,,,,,,0.416863,0.262546
,,,,,,-0.333813,1.63473
,,,,,,0.586241,1.02174
,,,,,,3.18139,1.72723
,,,,,,1.43909,3.51594
,,,,,,3.39098,1.74065
,,,,,,2.49213,1.82492
,,,,,,-0.242264,1.01619
,,,,,,-0.0591173,-1.47759
,,,,,,1.65844,-0.0109081
,,,,,,1.30259,0.792947
,,,,,,1.892,-1.60164
,,,,,,-1.68293,3.20678
,,,,,,1.49173,3.72073
,,,,,,1.45827,0.420488
,,,,,,-0.473591,4.68538
,,,,,,3.20561,-1.5358
,,,,,,-1.94393,1.6213
,,,,,,2.52315,0.764662
,,,,,,0.505726,3.50665
,,,,,,0.299067,1.65518
,,,,,,0.516689,-2.44419
,,,,,,1.84361,-0.445069
,,,,,,1.68457,-0.0442984
,,,,,,1.82887,-1.64782
,,,,,,0.049933,-0.45063
,,,,,,-0.730012,0.704107
,,,,,,0.260717,0.99766
,,,,,,1.44955,3.62014
,,,,,,0.862155,0.858065
,,,,,,0.416104,-0.117929
,,,,,,1.45496,0.926753
,,,,,,-2.44136,-2.25934
,,,,,,1.70508,1.25193
,,,,,,1.69503,4.68069
,,,,,,4.61877,0.231633
,,,,,,2.13317,0.0749136
,,,,,,0.759805,2.21376
,,,,,,-1.46201,2.27752
,,,,,,1.82854,-0.0306348
,,,,,,1.84744,2.07503
,,,,,,3.73105,-2.68083
,,,,,,2.29784,0.633939
,,,,,,2.42848,0.827633
,,,,,,1.13461,-0.0455921
,,,,,,2.64947,-1.39181
,,,,,,0.296899,0.951879
,,,,,,3.86403,0.750115
,,,,,,-0.643158,2.32986
,,,,,,1.23408,2.92285
,,,,,,1.39676,-0.908799
,,,,,,-0.545012,-0.532753
,,,,,,-2.74038,2.04365
,,,,,,0.289162,0.136113
,,,,,,-1.00762,1.71573
,,,,,,1.66877,1.43227
,,,,,,0.258398,-0.107397
,,,,,,2.84977,0.602079
,,,,,,3.22447,0.955052
,,,,,,0.184798,-2.83692
,,,,,,-1.07886,1.41652
,,,,,,0.14183,1.69458
,,,,,,5.88382,1.4583
,,,,,,2.65455,3.72133
,,,,,,2.21722,1.00412
,,,,,,0.933029,1.27571
,,,,,,0.933228,1.48642
,,,,,,-0.115818,4.77074
,,,,,,0.563871,-2.15653
,,,,,,0.546341,-2.02583
,,,,,,2.16652,2.61032
,,,,,,1.23152,-0.878765
,,,,,,-1.14569,1.76013
,,,,,,3.64272,2.71755
,,,,,,0.0917649,1.38091
,,,,,,-0.242469,4.19575
,,,,,,-2.93129,2.30661
,,,,,,3.39749,-2.21568
,,,,,,0.750535,2.51597
,,,,,,3.03217,-1.45448
,,,,,,0.359319,-0.41295
,,,,,,0.84689,0.366131
,,,,,,0.336418,-1.59699
,,,,,,3.17256,-0.216016
