trivial,shift,scale,shape
-1.51239,2.13188,2.30993,-0.991367
-2.38343,2.39456,0.0608574,0.538884
2.21029,2.09812,0.445459,0.215706
-1.89213,-0.248264,2.89423,0.482265
1.0828,1.73704,-1.68065,0.161077
0.18265,2.11229,0.132447,-0.78063
0.964915,-1.11671,-0.59544,0.731569
3.42854,2.16614,1.09826,1.4667
0.483355,2.6155,0.96513,-0.752299
1.10769,1.55736,0.546932,-1.48676
1.56683,3.38599,0.421654,0.495186
-0.237059,2.90166,2.3184,0.318402
-5.39738,1.36415,-1.867,-0.707136
1.16597,1.47106,-3.4923,-0.673638
-4.9397,0.495732,-2.14835,0.922028
-1.31688,2.19892,-0.834792,-1.825
-0.934489,2.45501,1.21893,-0.28572
-2.94509,-0.531302,0.0140623,-0.0221481
-0.352411,2.54533,0.700255,0.554056
-1.01424,2.11894,2.58996,-0.519474
0.554112,1.10744,-3.72812,0.541296
1.76472,0.684687,0.479442,-0.789814
0.418017,0.698056,-2.11799,-0.150653
-0.0906901,0.583986,0.48969,-0.0717635
-0.0216339,-0.438958,1.03162,-1.00187
0.262463,0.0645267,-0.986965,-0.447107
-0.156569,2.1579,0.662532,-0.281694
0.651786,2.13753,0.159915,0.256763
-2.16103,2.64904,-4.56047,-0.19554
1.87318,3.04043,-0.751331,1.38458
2.06259,-1.32996,2.11159,-0.282057
0.430768,2.87218,-0.18519,-1.55562
-1.29713,1.99428,-3.0643,1.07967
0.987711,-0.385501,1.63434,1.16195
0.633231,2.5852,0.222937,-0.309118
0.727444,0.24075,-0.0811334,0.448824
-0.293572,-0.533787,1.80254,-0.767466
-0.55652,0.765428,5.3657,2.11494
-1.07347,2.28726,8.48796,0.249961
0.975446,2.365,-1.6493,-0.842675
-0.399938,-0.330435,0.208777,1.35469
-0.375403,1.01479,-0.131231,-0.433045
3.58325,1.55438,-0.100702,-0.185367
4.87066,2.32503,-1.79808,-0.602089
1.78965,2.32046,-0.520919,-0.658295
-1.08901,1.93881,-1.30138,0.734294
0.266377,1.88417,1.02567,0.926111
0.389293,1.50992,0.98483,-0.938481
1.0873,1.73464,-0.57793,-0.434292
0.64296,2.92831,1.71755,-0.717492
-1.23339,2.81027,1.30667,-0.110735
-0.294372,1.45059,1.41019,-0.610951
0.89994,1.97136,-0.0632831,-0.23648
3.20585,-1.39238,1.06113,0.218268
1.00004,-0.44234,-0.10782,0.722041
-2.23548,1.17826,-0.454057,-0.0252181
-1.23857,0.613554,2.06609,0.394694
2.67948,3.53803,-0.636084,0.661023
1.90453,0.0417549,-0.0990794,-0.255499
-1.63294,2.75053,0.903575,0.178839
0.440023,0.804412,1.64449,0.121817
1.30229,-1.32438,-0.0258237,-0.0503646
-1.98595,3.77954,-1.80612,0.0543021
-1.95842,1.49957,-0.482452,-1.09368
1.2629,-0.166141,-0.954691,0.238538
-1.4605,1.35671,0.829684,-1.03281
-0.4899,1.49664,-1.88613,1.05238
0.256463,1.5616,0.889606,-0.19578
-1.21556,1.75412,-2.79984,-0.337195
0.654884,2.24398,-0.901629,0.342354
-1.35619,1.23899,0.976273,-0.0346986
0.402602,3.36873,0.26356,0.788226
-0.0863866,1.78021,-0.241053,0.955232
-1.1225,-0.839498,0.471026,-0.565433
-1.02545,1.03741,0.149252,-0.384174
1.78387,2.23647,0.0236357,-1.04671
1.0557,2.20404,0.244884,-0.741498
2.42488,3.06985,0.802866,0.112458
1.31792,2.29165,-0.0778257,-0.151212
0.299244,2.39756,0.891019,0.199403
-2.88894,1.36726,-1.69969,1.0508
-0.944447,2.41025,-0.824788,0.215401
-1.46511,1.43848,2.70958,-0.66295
2.01358,2.70627,0.812035,0.895576
0.235404,2.45474,-1.61917,-0.278249
1.59975,1.66175,0.479362,-0.738409
-0.908388,3.84927,0.0585594,-1.82274
0.562302,0.559919,1.66326,0.706527
-0.631513,-0.986393,-0.563875,-0.120444
2.22304,1.53278,0.883015,0.877031
1.74839,1.66184,-0.226156,0.277685
-0.950905,1.87275,1.14543,0.443319
1.16687,0.558567,0.656703,1.0016
-2.36591,1.12357,0.867758,-0.805357
0.131543,1.09292,-4.84001,-0.80396
2.94475,0.362338,-3.02379,0.780598
3.05216,-0.512051,0.312079,-0.848729
1.20501,1.36698,-0.0110983,0.0253174
-1.12328,3.71883,-0.547542,0.455318
0.719719,2.06779,-0.57554,-0.844396
0.918623,-1.15264,0.914282,-0.357729
0.313866,0.736328,0.450708,-0.86876
-1.17177,2.2375,-3.90267,-2.00164
0.329292,2.2639,0.0431794,-0.415897
0.409524,-0.551836,0.418307,0.703794
-3.13369,1.08955,0.075433,0.357396
0.746098,0.0695259,0.069457,0.64477
-1.52931,2.26241,0.441261,0.89256
0.582255,3.32648,3.36418,0.557165
0.500374,2.94655,-0.630789,0.368507
-0.671393,3.27477,2.70414,0.728287
0.732448,-0.467881,0.806838,-0.14552
-1.11864,1.39422,0.740439,1.24503
-2.20078,-1.01119,1.43057,-1.27414
-1.33528,1.04088,-0.231724,2.83599
0.111039,0.698662,-1.07187,-0.228047
-0.194118,-0.760399,-0.133422,-0.181499
-0.471801,1.89226,-0.637863,-0.189206
-0.530288,1.52529,-0.291914,-0.488218
1.37652,1.79379,0.201742,0.924258
1.92217,2.03437,1.60205,-0.857061
-1.21757,2.17005,-1.27844,-0.851806
-0.114664,2.62152,0.236483,0.712154
-0.0503702,1.64447,1.16642,-1.17553
1.31554,3.10285,1.40641,0.0412835
0.425839,0.337262,0.413163,1.5868
-0.322743,0.806478,-1.72102,-1.49741
-0.444791,2.34886,-0.750284,-0.216303
-2.06781,-0.107853,0.759254,0.463203
0.115789,1.78422,0.633166,0.47567
-1.14441,1.46282,5.53638,-0.56662
-1.85959,2.24372,0.976662,0.320674
1.47893,1.63728,-0.390603,0.112414
-0.460804,0.41673,-1.33346,0.221447
1.47214,0.383848,-0.26585,-0.0760335
1.61811,2.04533,2.22785,-0.563215
0.637443,0.679936,0.570621,-1.47749
-1.27943,1.86515,0.815793,0.253361
0.875189,2.79133,0.873756,0.679969
0.121876,1.9255,0.739973,-0.765798
-0.231626,1.28527,2.50411,-0.142864
0.231125,2.73361,2.80915,-0.721084
1.71682,2.42112,-0.990001,0.626223
-1.88639,0.806665,-1.38439,-0.315668
1.07853,0.730054,-0.412751,0.604448
1.60423,1.9095,-2.41695,0.205849
-0.0595442,0.595539,1.39963,1.08685
0.458087,2.14108,-1.99353,0.330693
0.253797,0.198122,-1.02504,-0.53574
-2.5193,2.3368,-0.18164,-0.499757
-0.883193,2.41342,-0.134645,1.43794
-0.551865,3.04915,-2.72712,-1.75696
1.40289,-0.710844,5.06593,-0.663898
0.152246,1.21453,1.80837,0.856151
1.02117,1.56366,0.0971399,0.333218
-0.839787,1.8501,-0.464238,0.259431
0.644371,1.74189,1.02207,-0.818089
1.4904,0.49481,0.830596,-0.315792
1.27806,2.56616,0.332579,-0.165028
2.15804,1.12492,0.527335,0.371753
1.07815,1.77098,1.31303,-0.173096
-0.397271,1.76961,1.29647,-0.384669
-0.0946299,2.19489,0.136728,0.00151556
1.57547,0.509393,0.924718,1.28108
3.73007,2.24492,1.17714,-0.282552
-0.0781287,2.22112,-0.601138,0.193609
1.19423,0.166775,4.80062,-0.615652
1.58176,-0.224493,1.04658,-1.41192
-3.16477,2.70886,-1.44978,-0.359059
1.18857,0.0708221,-0.301763,-0.795461
0.0392583,2.76737,1.13735,-0.207038
1.45679,2.41067,-0.498229,-1.31462
-2.10566,0.223075,0.158995,0.823977
-0.81973,2.68042,1.47744,1.11497
-0.371054,2.58496,-0.551286,-1.3448
0.191646,2.38272,-1.98701,0.709584
-1.76834,2.28598,-0.728749,0.164564
0.459198,1.70951,0.147402,-0.12492
-0.628246,2.1173,-1.59588,0.103446
-3.36425,2.60345,-3.57976,-1.34328
0.858065,2.53018,-0.367732,-0.165073
0.00810553,0.13268,-2.11886,-0.224494
-0.632079,1.99497,-0.93419,-0.980525
-4.90413,1.74172,-0.255051,0.109791
-2.38784,1.69929,-1.87647,0.526084
-2.47562,1.66698,-0.291989,-0.714483
0.916895,0.0434784,4.07824,-0.243672
-1.51439,2.53978,0.649766,-0.262359
1.46707,2.06689,1.38568,1.56632
-0.0945287,1.34644,-0.695629,-1.7218
0.923551,2.18738,-0.381341,0.841697
-0.421216,3.1747,4.15257,0.72557
0.261648,2.82114,1.94513,0.677856
-1.25837,1.94597,3.8617,0.0706555
-3.24958,1.28499,1.41567,-1.27284
-3.12894,-0.753193,0.723639,0.354196
-1.27052,1.32156,-1.89178,-1.14287
-0.770487,1.45485,0.743007,0.114786
2.15955,2.85542,0.55415,0.691396
1.525,1.98641,0.286452,-0.992578
1.36562,0.483586,-1.34749,0.547948
-0.976114,1.98619,0.441459,0.403867
-1.29193,0.380913,0.0599673,0.200517
-1.15636,-0.260177,0.727924,-0.321808
2.36086,0.583665,-0.170694,-0.387804
-1.90494,2.46245,1.61928,-0.448843
1.41968,0.28674,-1.224,-1.94692
-0.0800595,0.774302,0.409552,-0.26481
-1.54493,-0.487992,-1.117,-0.313087
-1.10975,1.93549,-1.3773,0.0188329
-1.65307,2.8692,-1.33167,0.0541971
-0.366009,2.51351,0.196817,-0.968333
1.83843,2.03026,1.71826,-0.251473
2.3543,2.78303,1.91793,0.42492
2.2211,1.32201,0.878232,0.123192
0.0782185,0.316819,4.09926,0.287292
-0.576431,2.34623,-0.860928,-0.109483
0.70684,1.37384,-0.0997364,0.620364
1.16927,1.95731,1.02046,-0.278157
1.2696,1.25255,-1.15559,-0.567659
-2.37204,1.36996,0.705938,-0.62723
0.166968,2.32617,-1.22745,0.189059
-1.38753,3.10118,0.734221,0.637307
-0.626135,2.37839,2.88187,1.45644
1.25443,1.58936,0.145441,0.169298
2.66464,0.176981,1.33217,2.29984
-2.28593,0.206893,0.249729,0.0474221
-0.0955488,2.43537,-0.505152,-0.308566
-0.662878,0.695577,-0.665887,0.122514
-1.4188,2.04143,-0.47876,-0.102346
1.01064,2.06307,-1.44485,-0.864846
0.189366,1.53243,-0.577522,1.96957
-0.385171,1.75864,0.466423,-0.108417
-1.92398,2.4555,-0.30849,0.0657051
0.0971706,2.33991,-0.380862,-1.07712
1.75806,0.523974,0.291583,-0.183635
-0.344299,1.06436,-0.975735,0.365113
-1.12864,1.79017,1.34144,0.428281
0.125272,0.798212,-3.75064,0.650388
1.78952,3.12656,-1.954,0.195708
0.39212,-0.273101,-3.50724,0.679276
2.09673,-0.115849,0.67745,0.392551
2.63478,0.781547,-0.277306,-1.10739
-0.935675,1.39389,1.13581,-0.309803
5.67906,1.89553,2.6224,-0.188505
-1.21998,0.608325,0.128928,0.42397
-1.12975,2.23642,-0.566785,0.13839
0.689008,3.44551,1.25028,0.954059
-1.07165,-0.255421,1.09533,-1.15283
0.906423,-1.62017,1.45221,-1.89182
0.158633,2.66066,-1.41888,0.0830945
3.60101,2.57345,-0.275709,-0.0489772
0.539573,1.86365,-0.815133,-0.168535
-3.57643,1.96222,-1.0878,-0.434403
0.321911,2.33333,0.41891,0.842243
-0.186654,2.51854,-2.61427,-0.435171
0.138023,2.47928,-2.26637,-0.664155
1.53377,2.16136,-3.31656,0.0579326
1.82252,-0.32825,-0.964452,1.35523
-0.883984,1.08074,0.838871,-0.342267
-0.66824,0.939841,-0.182411,0.247531
0.336847,-0.167224,0.651732,0.453611
0.0854443,1.63436,4.2107,0.726971
0.671531,0.544095,-0.968011,-1.3253
-1.7262,2.38289,1.05247,-1.11464
1.81905,0.555163,0.55296,0.236699
1.29651,2.53981,-0.544721,1.58018
1.73244,3.2179,-0.524474,0.492267
0.558494,1.96135,-2.60847,0.0602133
0.638705,2.4339,2.03529,-0.0191148
-3.67588,2.56786,-4.23571,0.114184
2.7178,1.89681,-0.14336,-0.0523628
2.62172,2.32215,-0.0114298,-1.34796
-1.15792,1.15583,0.510023,1.19934
0.28199,1.71093,-0.604318,-0.0659356
0.93719,1.84174,-0.594245,1.77046
-0.631641,2.47892,1.29774,-0.196445
-0.636949,2.48825,0.900077,-0.0516557
-3.66764,3.29228,0.126092,0.392683
-1.12042,2.78247,0.375507,1.2885
0.199113,3.7253,0.412891,0.105763
0.884705,1.64097,-1.78627,0.575202
-0.744659,1.4378,-0.908282,-1.07106
0.908807,2.66401,0.420697,-0.160524
3.78638,0.268945,-4.60743,0.512946
-0.411492,2.81217,-0.343281,1.24193
-0.653253,0.9054,-0.603664,0.469479
-0.81332,1.22849,0.853055,-0.304259
1.07224,0.8324,-0.109042,-1.21272
0.57337,0.313139,2.63779,0.17433
0.33968,3.12884,-1.62566,-0.116909
-0.36564,-0.768198,-2.10842,0.179206
1.02944,0.413177,-2.01114,0.296658
-2.33686,1.01644,0.648753,-0.964046
0.28536,1.46637,0.273816,-0.0446141
4.33568,2.2659,-0.740088,0.801281
0.513296,1.63937,1.74972,0.257058
0.962501,1.52291,2.48017,-0.135191
0.586639,1.34364,2.03713,-0.144282
-1.87991,2.42238,-0.00493132,0.225017
1.08706,2.05352,-0.658753,-0.807084
-1.40999,1.23397,1.07347,1.1841
-0.623769,2.32103,0.505486,0.0205748
1.51819,2.01241,-1.77768,-0.0201097
-1.45324,3.15674,-3.97693,-0.15429
-1.39141,2.30094,-0.766927,-1.24209
0.132959,2.69563,-0.939405,-0.966604
0.713981,2.13352,-0.101529,-1.18851
0.309665,2.39345,0.867549,0.13966
1.4852,-0.0815426,-0.0574778,0.424206
0.232872,-0.456234,0.830014,0.467471
0.953365,2.2128,3.79028,0.808646
-0.617375,2.01712,-1.59532,0.281857
-2.13544,3.08515,-0.0313927,-1.11961
0.599532,2.94861,-1.05299,-0.887713
0.79936,2.64904,-1.17259,-0.631822
0.400706,3.23148,0.53695,-0.757085
-0.227071,0.232725,-0.426156,1.13677
0.423363,2.49423,1.22312,0.1807
0.260023,2.13136,0.194942,-0.605415
-0.337384,2.03053,-3.118,-0.146747
-0.461179,-1.15002,0.578771,-0.180654
-0.046735,2.07918,-0.308545,-1.08064
0.234627,2.67031,-0.281704,0.896864
-0.264455,-0.440387,-4.18653,-0.014365
1.58922,1.27413,-0.445657,0.428528
-4.51534,-0.913443,-1.01581,-0.391051
-3.15823,2.09304,1.32497,1.49593
-1.91563,2.05009,-2.31074,-0.124792
3.1168,2.06964,0.423517,0.800529
2.7647,-0.32826,-0.468945,-0.355777
1.36433,1.94215,0.484262,-0.496374
-0.922965,1.27442,-2.1781,0.563662
-0.11111,2.05273,2.85873,0.409559
0.977069,1.94168,-0.358215,1.00553
-3.44441,2.27648,-0.249964,-0.411644
1.52728,1.46502,0.620887,1.39986
1.17519,3.32858,0.28256,-0.557723
0.478727,1.08017,0.506709,0.649261
-0.387446,0.224021,-0.0631912,-0.740728
0.854873,0.726411,1.83,-0.961325
-1.01079,-0.0465582,0.63598,1.05812
-0.605834,2.00353,3.70526,0.0512473
0.195142,-1.17279,1.98827,0.188922
1.82338,1.29279,-0.220503,-1.10951
0.656844,2.16508,3.59516,0.363574
0.0377785,2.13306,-3.16773,1.19086
1.11111,2.15607,0.191576,-0.956678
1.12186,2.0196,-1.35628,0.633448
0.696401,2.66996,-0.176789,0.322541
0.127747,1.86888,-0.445244,0.36573
-3.06529,-0.442663,1.72146,-0.0722125
-0.819767,1.83619,0.556124,-2.58433
1.0874,1.38637,0.619426,0.134594
-1.30715,-0.210464,-0.172561,-0.964778
-1.07474,3.3154,-0.125458,0.230052
-0.281795,-1.69996,1.37458,-0.441084
-0.498322,2.59694,1.53028,-0.466057
-1.59279,2.30521,3.50895,-1.93418
-1.41796,0.0635307,4.1158,-1.62418
0.869357,0.589159,1.63046,-1.1989
0.799183,3.34663,-1.75833,-1.57812
0.797326,1.62427,2.8776,-0.650317
-1.73568,0.846327,-4.93867,-0.743635
1.05024,-0.0357143,-0.208305,0.656757
-1.06165,3.93726,1.0788,-0.564721
-0.313941,1.91185,1.31161,0.44905
-1.38079,1.64674,-2.17739,0.387387
0.0892766,2.48537,-0.110587,-0.201637
-0.0347708,2.31075,0.516412,0.479709
-0.576648,2.53188,-0.634214,1.63625
0.436632,1.73319,-2.50132,-0.285604
2.58453,3.40824,-2.66178,-0.629485
-0.178885,-0.206038,-0.294063,0.377543
0.133338,2.90089,0.137677,0.533031
-1.89072,1.2871,1.61569,0.408772
1.48005,2.11217,0.621664,1.31087
-1.68453,2.50732,-0.375916,0.141069
-0.43677,2.33655,-1.39247,-1.33026
-1.8427,3.55027,-1.34238,-0.0215332
-1.61221,1.56901,1.15383,-0.534437
0.434365,3.71005,3.00253,-0.0374651
-1.71096,2.10964,-0.106138,-0.238369
-1.67144,1.10783,0.439817,-0.877762
-0.143312,2.00715,0.733677,0.309177
0.807753,2.90669,-0.656942,0.616132
-3.64825,1.42577,1.14506,-0.815746
-2.63721,2.71023,1.00622,-0.628278
4.36986,0.258604,0.281474,-1.61516
-1.1379,3.30474,0.20046,0.409641
-0.598927,0.0630929,-1.21455,-0.601481
0.248494,1.48757,0.486459,0.210629
0.64125,2.76692,0.197694,-0.462585
-0.349529,-0.178421,1.46938,0.680727
1.52448,-0.859416,1.70515,0.0424818
0.996117,3.40143,-2.26446,0.679427
-0.42379,2.3145,-0.070269,0.0952172
1.06239,-0.934503,4.22348,0.459087
0.275987,2.36404,-1.89769,-0.604199
2.15849,2.19559,-0.729181,-0.423565
-0.752436,2.14334,2.79426,-0.561878
-0.914875,0.170942,0.835856,-0.51997
-1.68432,2.12797,-0.978177,-0.0257569
1.46597,0.198062,3.03967,0.547295
-1.03312,1.05829,-0.277071,-0.0858018
-1.43292,-0.104954,0.528078,-0.613266
1.04924,2.91932,0.269347,-0.272935
0.478998,3.16429,4.83766,0.210235
-1.78911,2.70769,-1.52795,0.816233
0.304079,-0.101184,-0.470741,-0.235268
-1.07624,2.60781,-0.911477,0.961861
1.17082,1.96543,0.191077,-1.1213
1.13373,3.19562,-0.663851,-0.66085
-2.20417,-0.499146,-1.47125,0.535943
1.48095,1.11995,4.64658,0.109231
0.286716,1.89073,-0.761455,0.0563065
-1.49085,2.21744,0.109644,-0.871641
3.79253,2.20105,0.149699,-1.04164
0.272663,1.30392,-0.269601,0.129235
0.308962,1.26855,-0.72185,0.868962
-1.90251,1.56909,-0.61578,-0.641952
-0.472847,1.80434,-0.372855,-0.149335
0.703787,0.279334,-1.37269,0.106255
-0.479619,2.28173,-2.6317,-0.564921
-0.313559,1.67058,2.53999,0.468371
-0.757032,1.46537,-5.16675,-1.04011
0.637074,1.6282,0.175603,-0.23359
0.2073,2.30625,-0.0131426,0.729837
0.6427,3.05937,2.06487,0.830936
-0.679188,-0.390501,-0.526202,1.12488
-0.753647,-0.993019,-0.32768,-1.06264
1.13681,-0.828569,0.675436,-1.29865
-3.31745,2.10431,-0.397135,2.68841
-1.18287,2.74129,-2.35888,-0.0741663
0.364495,1.71852,0.912668,-0.869437
-0.538202,2.24589,1.77401,0.956502
-0.402849,0.563672,-2.07332,0.849741
1.10553,2.11674,-0.208705,-0.059294
-0.111504,2.86874,-0.157728,-1.36905
-0.690023,0.5572,1.28798,0.0392166
0.388616,1.00675,-0.191118,0.50029
-1.06074,1.93017,-1.25731,0.93805
0.118184,2.1633,0.824952,0.311721
2.89232,2.00642,-1.22267,0.719767
-1.81614,1.78973,-1.7106,-0.166553
0.339058,1.97857,-2.06013,0.941798
0.218692,2.62259,-4.36306,-1.40046
1.74932,3.32701,-0.514848,-0.860045
0.0373239,0.258076,3.00172,2.36192
-1.18137,2.78678,0.384976,0.0585072
-1.91144,-0.494336,0.994156,2.18106
-0.142278,2.00452,0.41994,-0.596396
-1.09842,-2.04851,0.126617,-2.06905
-0.507086,-0.333353,-2.48637,0.24562
4.3115,2.61817,0.288224,-0.528965
0.390325,1.28513,-0.059227,-0.110564
-1.33129,2.26015,-0.0624012,0.465346
-0.107385,1.23422,0.869316,-0.74121
0.135677,2.07782,0.667857,0.783611
-0.729686,1.25609,-0.824395,-0.870861
-0.800299,1.6519,-0.619296,0.660261
-0.30295,0.167481,-1.39244,-0.610755
-0.260164,1.15883,-0.720023,0.857041
-0.258685,2.88418,1.39843,0.86138
0.107623,1.8069,-1.00887,0.153351
-0.179621,1.80339,-6.88757,0.285341
0.539452,1.70808,-0.763906,-1.2979
2.67391,1.12863,-0.963588,-1.3377
-2.34632,1.63412,-0.577507,-1.0694
-0.625762,2.04858,-2.61182,-1.35718
0.115063,2.63841,0.770193,-0.279956
-0.0880296,-1.5424,-0.247346,0.894668
0.141176,1.00514,0.597918,0.39257
0.432639,2.01256,-0.548891,0.0106349
-0.393059,1.96935,0.474569,-0.0668799
2.67565,-0.23512,-5.24408,-1.28731
1.11194,3.24407,-1.22645,0.351656
-2.47094,3.13765,-2.64163,-0.436827
-0.0803548,1.89408,3.73418,0.387069
1.05395,2.49495,-0.715698,0.981468
-0.471759,1.20017,1.53825,-0.157401
-0.948471,-0.0129767,-0.575684,0.8604
-0.611071,2.12292,-3.92584,-0.803017
-2.09824,1.98062,-1.40267,-0.0330658
1.13842,1.82062,-0.289169,0.301536
0.748369,2.55128,0.813818,0.503642
0.735304,1.8467,0.344923,-0.470569
-1.57794,2.23388,-0.574821,-0.0769312
-0.00564284,-1.08095,-1.98711,-0.0988885
-3.40786,1.24387,1.32401,0.260408
1.41759,-1.7454,0.207285,0.675912
-1.4988,-0.280411,-2.22335,0.379735
2.56501,1.90176,-4.47929,-0.910056
0.197146,1.03692,-1.07885,-0.0307637
-0.945256,1.13778,-0.407783,-0.318566
0.416974,1.69299,-1.12164,0.337922
0.515962,1.87834,-4.03007,-0.0824793
1.69647,2.97502,1.30592,0.290267
0.761011,0.163311,0.514593,-0.215842
-0.270479,1.87575,-2.78032,0.57471
0.131773,3.14599,-1.33915,1.24598
0.0824933,0.349707,-0.222251,0.69933
0.376328,2.26529,-0.497252,-1.27985
-1.00478,-0.843494,2.97252,-0.950279
-1.48652,0.136772,-2.59141,-1.10147
-0.364169,0.485183,-0.982659,1.9977
2.11019,0.68379,1.45141,-0.519612
-1.61036,3.04302,0.444743,0.691508
1.08843,-0.330788,-0.411003,-0.161872
